prefecture_code,target_variable,frequency_band,model_name,split,selected_candidate,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
JP-42,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.00790970310528529,0.00994975563780809,0.8909339502542748,0.20623669628431318,0.456699962364829
JP-43,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4355,0.008217517609909858,0.010311995315473546,0.9627013675578627,0.0732060769022208,0.28704605589914606
JP-44,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4355,0.009704815568152923,0.012143794792137818,0.9634843139780553,0.07169797671823597,0.2851666327382969
JP-45,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.012317287849634127,0.015282090124313984,0.9252308404816362,0.14394789182164525,0.401571786027398
JP-46,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.007955957373005786,0.009935813504128138,0.8692291836408153,0.24444062630712182,0.5099111320171094
JP-47,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4361,0.005114007352620447,0.0064339466077273305,0.9790980243881295,0.04136705863926171,0.23013988148368067
JP-01,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.012360440798381755,0.014799486401039182,1.0224376642933242,-0.04537877736558826,-0.19178702182598875
JP-02,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.020678812224279326,0.0263212150758089,0.9815087705211033,0.03664053339015205,0.19559735948822082
JP-03,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.01488728316237974,0.018271232496411497,0.9830671092773485,0.033579058657077665,0.1844833961676046
JP-04,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.01046777128063081,0.012660756772553556,1.034606768661872,-0.07041116576096074,-0.10146797725933261
JP-05,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.016204881500752277,0.02065233505135712,1.0546256864614731,-0.11223533854433354,-0.22552244930097223
JP-06,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.013511941531211191,0.016502424788039875,1.031980057016175,-0.06498283807910799,-0.19079522484426262
JP-07,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.011688465769937753,0.014447395547307352,1.1059469932217718,-0.2231187518162776,-0.34369522650291656
JP-08,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.011865586501537103,0.014921751280703088,1.004893592740395,-0.00981113273069889,0.10510776853160962
JP-09,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.013916221512515876,0.01682570287543023,0.9887717364613225,0.022330453175260834,0.16493756853629138
JP-10,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.011874493259154469,0.01519429845509981,0.985203839272785,0.029373395082164522,0.20000653839448973
JP-11,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.009731704468247133,0.012489508323212896,0.9977339263074898,0.0045270122950406,0.11880460221163268
JP-13,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.008951287715763919,0.010868940451897673,1.070049722646259,-0.14500640893533556,-0.09058551254767931
JP-14,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.0046494563156075875,0.005735697156640328,0.994641556278422,0.010688174524038585,0.13075476731516125
JP-15,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.00858218142235729,0.010529529642730013,1.0091705349275826,-0.018425168566023276,0.003393796258615341
JP-16,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.014007005679146325,0.016312346193639693,0.9962107156604924,0.007564210003209837,0.11443328657864575
JP-17,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.008879722587083435,0.01126804415074945,0.9765687046619428,0.046313565074894814,0.22664872803130995
JP-18,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.012678682090212832,0.015359093265646887,1.0426392060907321,-0.08709651407751218,-0.34589424628842386
JP-19,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.011395488159074119,0.014766949166083823,1.0399498211198697,-0.08149563044724917,-0.11547314197224946
JP-20,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.009173926565613548,0.011104698426204611,0.992821766289969,0.014304940380866049,0.14994833564848212
JP-21,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.011846544829566399,0.01446330287108324,1.1027828049689599,-0.21612991493520695,0.033296832658093314
JP-22,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.011586241409813684,0.013509185042744776,1.0168520472455722,-0.033988085987511685,0.14891723834509787
JP-23,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.007593490029409532,0.009660949770602747,1.0278142832014676,-0.056402200752946774,0.13075724838774402
JP-24,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.015884873336284418,0.019975095823263605,1.0203988735747516,-0.041213861192621826,0.04980332556905563
JP-25,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.006860816359816495,0.008403203817117094,0.951704949100846,0.09425768985695648,0.3595371163308194
JP-26,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.011113672877535332,0.013575263602381826,1.0514549507281785,-0.10555751341079622,-0.2779843170603677
JP-27,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.007669377028669894,0.00920309985310601,1.0634451921255528,-0.13091567665495396,-0.08210370557802969
JP-28,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.006922117877308392,0.008382338597428016,1.103121843241555,-0.2168778010366461,-0.01571260063491276
JP-29,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.015852004766682186,0.019279963331254202,0.986348161291045,0.027117304717774515,0.16910904419771336
JP-30,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.01470910036217537,0.018218116756583188,1.0071678735259848,-0.014387125462853811,0.16631905701725433
JP-31,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.007558891818225943,0.009630211933793865,1.001916068595092,-0.003835808509045524,0.028166172039766433
JP-32,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.006398308134350126,0.007674656891087713,0.9824985518440538,0.034696595624337245,0.18772512143768919
JP-33,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.004258223811387493,0.0052250358783811944,1.3616751868476495,-0.8541593144765809,0.087092494872014
JP-34,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.007140630489415919,0.008937222963159526,0.9503976799879078,0.09674424987360242,0.3146434495149177
JP-35,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.016617118740965237,0.021581043672020274,0.9906091105881462,0.018693590019762008,0.1533842887437012
JP-36,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.011761619592042017,0.015028631589139812,1.012747844109702,-0.02565819574884931,-0.00015895304339189805
JP-37,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.01086960358478873,0.01332880731867411,1.0267673164265454,-0.054251122081769854,0.029792860740703614
JP-38,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.013639395727526992,0.016423541001485725,0.9503608242523021,0.09681430372648492,0.3152295547732665
JP-39,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.010993255046233216,0.013469831549885389,0.9556299516209027,0.086771395565031,0.31407752837260355
JP-40,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.006495667440161422,0.008073138538059415,0.9690815013735753,0.06088104369553726,0.25092348996603425
JP-41,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.017352856733508698,0.021045766611730448,1.0486548326029523,-0.0996769579415262,-0.27230468526603513
JP-42,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.010370594270479065,0.012387683773819085,0.9593610041974743,0.07962646362521364,0.29015666729688117
JP-43,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,365,0.010995405933466483,0.012779570846894022,0.9917769115948633,0.01637855762735485,0.13184580662940834
